Roll
[-3.83]
[-4.36]
[-5.63]
[-6.46]
[-7.3]
[-7.79]
[-9.07]
[-8.64]
[-7.96]
[-7.1]
[-6.71]
[-5.88]
[-4.02]
[-2.82]
[-1.76]
[0.33]
[0.08]
[0.34]
[1.01]
[1.83]
[1.71]
[2.18]
[2.18]
[2.18]
[2.18]
[2.46]
[2.18]
[2.46]
[1.71]
[1.58]
[-1.6]
[-2.87]
[-5.86]
[-6.42]
[-8.29]
[-9.56]
[-9.97]
[-10.67]
[-11.68]
[-11.68]
[-9.97]
[-10.31]
[-9.56]
[-10.34]
[-10.34]
[-9.04]
[-8.64]
[-6.68]
[-6.24]
[-2.35]
[-3.47]
[1.79]
[1.7]
[2.18]
[1.53]
[1.44]
[1.44]
[1.71]
[1.7]
[1.7]
[2.46]
[2.18]
[2.46]
[1.7]
[2.19]
[0.88]
[4.0]
[4.92]
[6.79]
[8.94]
[10.3]
[11.89]
[12.53]
[14.57]
[16.37]
[17.04]
[17.72]
[18.21]
[17.99]
[17.27]
[16.61]
[15.53]
[14.82]
[13.92]
[12.14]
[9.98]
[7.34]
[5.82]
[3.19]
[2.26]
[1.7]
[2.46]
[1.7]
[1.71]
[1.71]
[1.7]
[1.7]
[2.46]
[2.18]
[1.01]
[0.4]
[-1.22]
[-3.04]
[-2.97]
[-6.86]
[-6.88]
[-8.16]
[-8.72]
[-9.82]
[-11.11]
[-11.55]
[-14.01]
[-12.89]
[-12.46]
[-11.55]
[-10.67]
[-10.72]
[-8.48]
[-8.48]
[-7.06]
[-5.05]
[-4.69]
[-2.95]
[0.82]
[-0.0]
[2.18]
[2.32]
[1.27]
[1.44]
[1.53]
[2.18]
[2.18]
[2.18]
[2.18]
[2.18]
[1.7]
[1.71]
[2.47]
[0.88]
[2.64]
[3.45]
[5.72]
[8.58]
[10.52]
[12.08]
[13.64]
[14.82]
[16.85]
[18.65]
[19.34]
[20.68]
[20.25]
[17.97]
[14.82]
[14.37]
[13.43]
[12.06]
[9.52]
[8.29]
[7.06]
[5.07]
[4.48]
[3.79]
[4.04]
[3.56]
[2.87]
[2.64]
[2.64]
[2.64]
[2.64]
[2.64]
[0.88]
[2.47]
[2.47]
[2.47]
[2.77]
[0.88]
[2.64]
[3.19]
[4.38]
[5.87]
[8.02]
[9.98]
[12.52]
[13.94]
[14.18]
[14.82]
[17.04]
[19.14]
[22.68]
[24.0]
[23.53]
[22.6]
[21.47]
[19.17]
[19.19]
[15.19]
[15.53]
[13.95]
[13.18]
[11.63]
[9.74]
[6.96]
[4.78]
[3.7]
[2.26]
[2.19]
[2.19]
[2.19]
[2.47]
[2.19]
[2.34]
[2.19]
[1.71]
[1.7]
[2.18]
[1.84]
[1.44]
[0.78]
[0.3]
[-2.09]
[-4.75]
[-6.0]
[-6.91]
[-10.3]
[-12.72]
[-12.89]
[-13.36]
[-11.86]
[-11.07]
[-10.2]
[-9.11]
[-7.43]
[-5.76]
[-4.95]
[-2.08]
[-1.35]
[0.17]
[1.94]
[1.71]
[1.71]
[1.7]
[2.32]
[1.53]
[1.53]
[2.18]
[1.94]
[0.88]
[3.45]
[5.08]
[7.94]
[9.52]
[12.08]
[13.0]
[13.92]
[15.95]
[19.91]
[21.78]
[23.53]
[24.38]
[22.68]
[18.66]
[15.39]
[13.95]
[13.87]
[12.79]
[12.79]
[11.19]
[7.9]
[6.52]
[3.68]
[2.26]
[1.7]
[2.32]
[2.46]
[1.71]
[2.19]
[2.19]
[1.94]
[1.94]
[2.19]
[2.47]
[2.77]
[0.88]
[3.45]
[5.2]
[7.19]
[10.14]
[13.65]
[14.15]
[15.05]
[15.23]
[17.25]
[18.83]
[21.45]
[22.67]
[24.74]
[24.17]
[23.5]
[21.91]
[19.67]
[19.42]
[15.26]
[14.18]
[14.18]
[13.18]
[13.01]
[11.4]
[9.24]
[8.29]
[6.82]
[5.53]
[4.93]
[4.32]
[3.56]
[1.78]
[1.78]
[2.87]
[3.4]
[3.4]
[3.4]
[2.64]
[2.64]
[0.88]
[3.03]
[2.77]
[3.03]
[2.77]
[2.77]
[3.03]
[2.64]
[3.82]
[5.28]
[6.3]
[8.75]
[9.87]
[9.87]
[9.2]
[8.84]
[9.91]
[9.91]
[10.98]
[11.21]
[12.34]
[11.77]
[11.88]
[11.77]
[11.77]
[11.75]
[12.79]
[12.79]
[13.43]
[12.72]
[15.0]
[15.04]
[14.18]
[14.18]
[15.0]
[15.27]
[16.61]
[16.61]
[15.88]
[15.05]
[12.68]
[12.68]
[14.82]
[13.65]
[12.79]
[11.21]
[10.06]
[9.13]
[8.75]
[7.86]
[7.82]
[7.09]
[6.9]
[5.66]
[5.56]
[4.73]
[4.12]
[3.82]
[3.2]
[2.47]
[2.46]
[1.53]
[1.53]
[1.71]
[1.7]
[2.19]
[2.19]
